Participant,ATCintM_PMHits,BlankM_PMHits,NoneM_PMHits,ATCintM_PMMissProp,BlankM_PMMissProp,NoneM_PMMissProp,ATCint_PM_Fixed,Blank_PM_Fixed,None_PM_Fixed,ATCint_PM_Valid,Blank_PM_Valid,None_PM_Valid,ATC_ValidProp,Blank_ValidProp,None_ValidProp,ATCintM_PM_reaction,BlankM_PM_reaction,NoneM_PM_reaction,ATCintMedian_ResTime,BlankMedian_ResTime,NoneMedian_ResTime,ATCintM_ResTime,BlankM_ResTime,NoneM_ResTime,ATCintM_ResTimeMisses,BlankM_ResTimeMisses,NoneM_ResTimeMisses,ATCintM_ResTimeMIssProp,BlankM_ResTimeMIssProp,NoneM_ResTimeMIssProp
1,0,2,2,1,0.6,0.6,0,2,2,5,5,5,0,0.4,0.4,NA,3888.390816,2728.100584,3824.293112,2524.304605,1228.304605,3670.001157,3151.405754,1335.70767,0,0,0,0,0,0
10,3,4,2,0.4,0.2,0.6,3,4,2,5,5,4,0.6,0.8,0.5,5728.079278,2687.252229,4084.03703,3677.796835,2231.936205,1563.606968,3883.287367,3334.318329,1445.303181,1,0,0,0.2,0,0
11,3,5,4,0.4,0,0.2,3,5,4,5,5,5,0.6,1,0.8,2211.597046,1873.420886,1959.730058,2076.305202,2081.884393,1294.642389,2718.568555,2365.838304,1329.241156,0,0,0,0,0,0
12,3,2,2,0.4,0.6,0.6,3,2,2,5,5,5,0.6,0.4,0.4,997.1954511,1352.751,765.1149924,3361.977042,2360.3257,1494.149458,3384.887391,2452.11574,1551.436814,0,0,0,0,0,0
13,2,1,0,0.6,0.8,1,2,1,0,5,5,5,0.4,0.2,0,1545.267883,2190.798922,NA,3181.508323,3103.067927,1364.985156,3044.37274,4299.02969,1596.870086,0,0,0,0,0,0
14,4,3,4,0.2,0.4,0.2,4,3,4,5,5,5,0.8,0.6,0.8,2455.778417,1346.562446,1579.878119,5290.928124,2834.049081,2209.682616,5887.610042,5367.805729,2630.311839,0,0,0,0,0,0
15,0,1,1,1,0.8,0.8,0,1,1,5,5,5,0,0.2,0.2,NA,5152.436072,1838.450264,4863.244613,8188.551348,2164.645336,6675.826173,9020.866952,2286.738227,2,1,0,0.4,0.2,0
16,3,3,5,0.4,0.4,0,3,3,5,5,5,5,0.6,0.6,1,3553.825506,4254.198448,3289.888252,2559.205894,8881.034719,5036.034719,3316.192168,7837.371659,5467.423541,2,0,2,0.4,0,0.4
17,3,3,4,0.4,0.4,0.2,3,3,4,5,5,5,0.6,0.6,0.8,1525.192254,3832.489726,2297.860604,3016.24377,2897.331149,1878.667281,3177.199058,2792.067963,1963.673684,0,0,0,0,0,0
18,5,4,4,0,0.2,0.2,5,4,4,5,5,5,1,0.8,0.8,2031.060434,2877.677052,3990.169909,4997.054125,4992.357884,2457.09172,5828.773522,8185.336831,2483.517583,0,1,0,0,0.2,0
19,5,4,1,0,0.2,0.8,5,4,1,5,5,5,1,0.8,0.2,2894.555194,2077.55201,2987.936945,2929.95205,7284.66971,1683.008518,2929.95205,7316.324211,4486.817317,3,0,0,0.6,0,0
2,5,1,4,0,0.8,0.2,5,1,4,5,5,5,1,0.2,0.8,1548.311073,1687.933721,1769.502081,2286.379017,2086.867277,1067.507909,2263.369625,2344.082131,1143.022747,0,0,0,0,0,0
20,1,2,2,0.8,0.6,0.6,1,2,2,5,5,5,0.2,0.4,0.4,4157.692807,2535.762088,2364.909835,4234.636048,3455.956586,3867.632712,5634.753579,4771.251741,3935.612677,0,0,0,0,0,0
21,4,4,4,0.2,0.2,0.2,4,4,4,5,5,5,0.8,0.8,0.8,1504.978267,2217.695497,2038.013728,2317.268838,2289.991825,1833.414771,3834.017941,3061.954245,1772.812618,2,0,0,0.4,0,0
22,4,4,2,0.2,0.2,0.6,4,4,2,5,5,5,0.8,0.8,0.4,2336.867218,3932.011367,2146.622927,7613.429398,4275.579255,1693.577924,7383.445526,5535.489474,1682.86367,1,0,0,0.2,0,0
23,0,0,2,1,1,0.6,0,0,2,5,5,5,0,0,0.4,NA,NA,2887.565722,7092.371954,5163.09168,2322.749985,6769.363653,5473.01694,2489.820053,0,0,1,0,0,0.2
24,4,5,5,0.2,0,0,4,5,5,5,5,5,0.8,1,1,2829.949453,2771.8446,2503.776976,3923.821349,4868.449372,2165.449372,4064.568237,4805.860014,2211.162432,0,0,0,0,0,0
25,5,4,5,0,0.2,0,5,4,5,5,5,5,1,0.8,1,4432.632103,2884.930653,3469.976201,9616.294005,5993.419264,1546.413051,9054.448508,9067.371298,1627.611395,1,2,0,0.2,0.4,0
26,4,4,5,0.2,0.2,0,4,4,5,5,5,5,0.8,0.8,1,5312.081833,3784.209699,4067.854178,4396.496795,5334.112644,2777.790116,4550.702428,5575.046684,3602.979048,1,0,1,0.2,0,0.2
27,4,5,2,0.2,0,0.6,4,5,2,5,5,5,0.8,1,0.4,2932.887205,2720.914316,2122.208807,3530.239409,2906.216888,1605.26193,3835.191857,4412.621,1900.097083,1,0,0,0.2,0,0
28,5,5,3,0,0,0.4,5,5,3,5,5,5,1,1,0.6,2966.087679,2488.433074,1130.959305,3588.193387,2195.037916,1244.072946,3747.908717,2391.272801,1283.148425,1,0,0,0.2,0,0
29,4,2,2,0.2,0.6,0.6,4,2,2,5,5,5,0.8,0.4,0.4,6421.000215,2162.67217,2635.410378,7340.584048,5340.079331,1732.972985,7276.856175,4677.712436,1881.56115,0,0,0,0,0,0
3,3,2,4,0.4,0.6,0.2,3,2,4,5,5,5,0.6,0.4,0.8,2245.861429,1425.419941,2410.006341,2891.282696,2189.274491,1447.258081,5795.715067,2200.576132,1563.969568,1,0,0,0.2,0,0
30,5,4,5,0,0.2,0,5,4,5,5,5,5,1,0.8,1,3208.797897,3858.253514,3514.433356,3016.755415,4411.30954,2184.833823,3009.450207,6714.099476,2167.414397,0,0,0,0,0,0
31,1,0,0,0.8,1,1,1,0,0,5,4,5,0.2,0,0,2420.406627,NA,NA,4500.701276,4941.289866,2488.366584,4679.518108,5150.840716,3272.90847,0,0,0,0,0,0
32,4,3,4,0.2,0.4,0.2,4,3,4,5,5,5,0.8,0.6,0.8,3609.719687,2108.110087,3649.135753,4781.762339,2579.769546,1395.197244,5421.067493,2983.742952,1358.917909,0,1,0,0,0.2,0
33,3,2,5,0.4,0.6,0,3,2,5,5,5,5,0.6,0.4,1,4139.105176,5089.364055,3084.832497,4319.877038,5104.823077,2101.189877,4990.383186,6278.877038,2931.433595,1,1,0,0.2,0.2,0
34,2,4,5,0.6,0.2,0,2,4,5,5,5,5,0.4,0.8,1,1548.988354,2560.702449,2687.661425,3006.833436,3390.360365,1080.990017,3524.991681,3383.033103,1131.286295,1,0,0,0.2,0,0
35,5,1,1,0,0.8,0.8,5,1,1,5,5,5,1,0.2,0.2,1918.009663,1568.7969,2266.609663,3505.326764,2556.48612,1185.143493,3722.611225,2449.485327,1298.473381,0,0,0,0,0,0
36,1,1,1,0.8,0.8,0.8,1,1,1,5,5,3,0.2,0.2,0.333333333,5345.899492,3255.84981,5677.676817,4327.58739,5203.246944,1710.198727,4563.866523,5287.305097,1659.4546,0,1,0,0,0.2,0
37,3,3,4,0.4,0.4,0.2,3,3,4,5,5,5,0.6,0.6,0.8,2371.27567,2692.417473,2436.661361,3702.882369,5294.047328,2153.350401,4143.064212,5399.889786,2418.800442,0,0,0,0,0,0
38,4,4,2,0.2,0.2,0.6,4,4,2,5,5,5,0.8,0.8,0.4,2682.36661,2609.793226,2370.336499,6260.300579,3158.69026,1170.67406,8046.001794,3035.996933,1436.903819,0,0,0,0,0,0
39,3,3,2,0.4,0.4,0.6,3,3,2,5,5,5,0.6,0.6,0.4,2886.185069,2100.245679,2099.200232,4230.954695,6526.909269,2241.682013,4216.091067,5801.289251,2216.023808,1,0,0,0.2,0,0
4,5,4,4,0,0.2,0.2,5,4,4,5,5,5,1,0.8,0.8,2868.597088,3157.287975,4158.463552,5014.866345,4003.382749,2443.157961,5489.623028,4410.822603,2744.151157,1,0,0,0.2,0,0
40,4,4,5,0.2,0.2,0,4,4,5,5,5,5,0.8,0.8,1,2371.664721,2459.193096,2605.5178,6243.94614,4143.338573,1891.824627,6988.011866,4096.137356,2116.170828,2,0,0,0.4,0,0
41,1,4,1,0.8,0.2,0.8,1,4,1,5,5,5,0.2,0.8,0.2,1435.493658,2586.223661,2205.503524,4979.269556,3460.657505,1570.02079,8499.185835,3549.488302,1723.179916,0,0,0,0,0,0
42,3,4,1,0.4,0.2,0.8,3,4,1,5,5,5,0.6,0.8,0.2,1035.575765,1319.689178,-397.9818111,2726.319525,2359.687437,1537.406423,3439.86669,2562.932144,3437.842304,0,0,0,0,0,0
43,5,5,4,0,0,0.2,5,5,4,5,5,5,1,1,0.8,1918.42341,3886.086474,2638.195934,2743.405397,2670.513506,1182.91891,3354.448639,3723.837829,1359.333325,0,0,0,0,0,0
44,4,4,4,0.2,0.2,0.2,4,4,4,5,5,5,0.8,0.8,0.8,1661.713562,2332.211538,2195.720561,6312.680937,3873.800327,1584.740632,5979.034662,3472.858541,4655.924713,0,0,0,0,0,0
45,0,1,1,1,0.8,0.8,0,1,1,5,4,5,0,0.25,0.2,NA,2108.402825,1607.432039,3589.060965,2091.999451,1644.999451,3468.832876,3877.803045,1652.638102,1,0,0,0.2,0,0
46,3,4,5,0.4,0.2,0,3,4,5,5,5,5,0.6,0.8,1,2264.875005,2151.7645,4265.756666,4343.957857,2714.25946,1491.690793,4936.927738,3260.540752,1784.299305,1,0,0,0.2,0,0
47,0,1,2,1,0.8,0.6,0,1,2,5,5,5,0,0.2,0.4,NA,8028.97296,3803.977592,6425.798448,5323.440661,2677.220581,10869.57281,6504.507199,2705.830621,0,1,1,0,0.2,0.2
48,0,3,4,1,0.4,0.2,0,3,4,5,5,5,0,0.6,0.8,NA,2900.876646,2452.314878,5609.866542,2973.962784,1516.853603,7092.798304,2784.589229,1809.329463,1,0,0,0.2,0,0
49,2,2,1,0.6,0.6,0.8,2,2,1,5,5,5,0.4,0.4,0.2,4524.277185,2983.785499,3507.477847,3894.921304,3173.180728,1209.456779,5176.401569,5926.556335,1391.237487,0,0,0,0,0,0
5,4,3,3,0.2,0.4,0.4,4,3,3,5,5,5,0.8,0.6,0.6,1604.549697,1697.701481,1628.809414,2929.709073,2963.491265,1220.463182,3077.187292,6903.850991,1222.674415,0,0,0,0,0,0
50,3,2,3,0.4,0.6,0.4,3,2,3,5,5,5,0.6,0.4,0.6,2057.639023,2984.493482,1746.030572,5684.777456,5406.875781,4298.777456,6455.454559,5879.146148,4488.916397,0,0,0,0,0,0
51,4,5,5,0.2,0,0,4,5,5,5,5,5,0.8,1,1,2199.814111,4304.409311,3361.491876,2741.334557,1861.359475,1304.690439,2935.242032,2416.896125,1454.057694,1,0,0,0.2,0,0
52,4,4,4,0.2,0.2,0.2,4,4,4,5,5,5,0.8,0.8,0.8,2382.972588,2616.159632,1550.722588,4932.987006,4212.93664,2107.225837,5238.196592,4107.642246,2417.59448,2,0,0,0.4,0,0
53,3,3,2,0.4,0.4,0.6,3,3,2,5,5,5,0.6,0.6,0.4,5256.814096,2345.946154,2813.45844,2963.412486,5135.563677,1595.582812,3821.295547,4865.967316,2586.163301,0,0,0,0,0,0
54,4,5,4,0.2,0,0.2,4,5,4,5,5,5,0.8,1,0.8,2840.813052,2684.946472,4485.818902,2723.630706,3525.236,1736.874857,2692.223994,3552.163771,1772.652072,0,0,0,0,0,0
55,3,4,5,0.4,0.2,0,3,4,5,5,5,5,0.6,0.8,1,2127.908366,1921.849439,2798.872709,2406.655378,2823.638186,1232.103672,2809.010575,2958.05194,1330.769175,0,0,0,0,0,0
56,4,5,5,0.2,0,0,4,5,5,5,5,5,0.8,1,1,3232.411275,1948.329662,2569.608373,5424.045151,2379.470958,1525.874184,6317.299184,2704.204505,1822.98128,1,0,0,0.2,0,0
58,5,4,4,0,0.2,0.2,5,4,4,5,5,5,1,0.8,0.8,4671.587648,5460.098294,5620.935226,8416.73525,8305.56465,5020.618253,7626.137209,8315.944264,7435.789167,1,0,1,0.2,0,0.2
59,0,1,0,1,0.8,1,0,1,0,5,5,5,0,0.2,0,NA,3181.764688,NA,8627.979187,4038.677106,2722.506971,10015.1065,4110.986905,3666.794005,1,1,0,0.2,0.2,0
6,4,5,3,0.2,0,0.4,4,5,3,5,5,5,0.8,1,0.6,3115.463516,3886.075203,6274.053813,2876.677754,3455.015573,2685.59277,3413.348009,3563.223931,4338.331013,0,0,0,0,0,0
60,3,2,2,0.4,0.6,0.6,3,2,2,5,5,5,0.6,0.4,0.4,3542.612313,4020.935812,7408.471819,3572.380056,3609.978322,1568.775287,3790.937715,3514.126347,1910.859102,0,0,0,0,0,0
7,5,5,3,0,0,0.4,5,5,3,5,5,4,1,1,0.75,2348.973554,2337.219793,3107.649509,3698.838975,2463.434128,2200.847303,3810.893391,3193.067343,2651.656364,0,0,1,0,0,0.2
8,3,5,3,0.4,0,0.4,3,5,3,5,5,5,0.6,1,0.6,3478.682679,3449.645177,3519.514135,4893.620633,3455.406646,2402.029051,5393.314291,4346.143456,3476.402139,0,0,0,0,0,0
9,4,2,3,0.2,0.6,0.4,4,2,3,5,5,5,0.8,0.4,0.6,2218.427185,2366.028598,2450.244574,4159.900393,4143.689019,2021.688362,4369.830374,4051.688362,2270.999604,1,1,0,0.2,0.2,0
